item,itemLabel,length,pic,location
http://www.wikidata.org/entity/Q3392,Nile,6650,http://commons.wikimedia.org/wiki/Special:FilePath/Cairo%20skyline%2C%20Panoramic%20view%2C%20Egypt.jpg,Point(32.5055 15.640138888)
http://www.wikidata.org/entity/Q3392,Nile,6650,http://commons.wikimedia.org/wiki/Special:FilePath/Cairo%20skyline%2C%20Panoramic%20view%2C%20Egypt.jpg,Point(30.3667 31.4653)
http://www.wikidata.org/entity/Q3783,Amazon,6400,http://commons.wikimedia.org/wiki/Special:FilePath/Amazon%20River%20mouth%20on%20the%20Atlantic.jpg,Point(-71.693611111 -15.517777777)
http://www.wikidata.org/entity/Q3783,Amazon,6400,http://commons.wikimedia.org/wiki/Special:FilePath/Amazon%20River%20-%202018.jpg,Point(-71.693611111 -15.517777777)
http://www.wikidata.org/entity/Q3783,Amazon,6400,http://commons.wikimedia.org/wiki/Special:FilePath/Amazon%20River%20mouth%20on%20the%20Atlantic.jpg,Point(-50.089444444 0.707777777)
http://www.wikidata.org/entity/Q3783,Amazon,6400,http://commons.wikimedia.org/wiki/Special:FilePath/Amazon%20River%20-%202018.jpg,Point(-50.089444444 0.707777777)
http://www.wikidata.org/entity/Q5413,Yangtze,6300,http://commons.wikimedia.org/wiki/Special:FilePath/Qutang%20Gorge%20on%20Changjiang.jpg,Point(90.936111111 33.444166666)
http://www.wikidata.org/entity/Q5413,Yangtze,6300,http://commons.wikimedia.org/wiki/Special:FilePath/Qutang%20Gorge%20on%20Changjiang.jpg,Point(121.983055555 31.393611111)
http://www.wikidata.org/entity/Q7355,Yellow River,5464,http://commons.wikimedia.org/wiki/Special:FilePath/Lanzhou-rio-amarillo-d01.jpg,Point(116.097666666 36.124194444)
http://www.wikidata.org/entity/Q127892,Paraná River,4880,http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Posadas.jpg,Point(-59.25 -33.716666666)
http://www.wikidata.org/entity/Q127892,Paraná River,4880,http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Posadas.jpg,Point(-58.409 -33.946)
http://www.wikidata.org/entity/Q127892,Paraná River,4880,http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Posadas.jpg,Point(-51.0006 -20.085)
http://www.wikidata.org/entity/Q3503,Congo,4700,http://commons.wikimedia.org/wiki/Special:FilePath/Sunrise%20near%20Mossaka%20%28Congo%29.JPG,Point(12.45 -6.079166666)
http://www.wikidata.org/entity/Q3503,Congo,4700,http://commons.wikimedia.org/wiki/Special:FilePath/Sunrise%20near%20Mossaka%20%28Congo%29.JPG,Point(13.58395 -5.70953)
http://www.wikidata.org/entity/Q814822,Beipan River,4490,http://commons.wikimedia.org/wiki/Special:FilePath/Beipanjiang%20Railway%20Bridge-3.jpg,Point(106.140833333 24.955833333)
http://www.wikidata.org/entity/Q814822,Beipan River,4490,http://commons.wikimedia.org/wiki/Special:FilePath/Beipanjiang%20Railway%20Bridge-3.jpg,Point(106.016666666 25.116666666)
http://www.wikidata.org/entity/Q41179,Mekong River,4350,http://commons.wikimedia.org/wiki/Special:FilePath/Chiang%20Saen%2C%20Mekong%20River%2C%20Thailand.jpg,Point(94.064027777 33.152722222)
http://www.wikidata.org/entity/Q41179,Mekong River,4350,http://commons.wikimedia.org/wiki/Special:FilePath/Chiang%20Saen%2C%20Mekong%20River%2C%20Thailand.jpg,Point(106.743166666 10.194805555)
http://www.wikidata.org/entity/Q46841,Lena River,4294,http://commons.wikimedia.org/wiki/Special:FilePath/Lena%202007%20%28synchroswimr%29.jpg,Point(108.091944444 53.935555555)
http://www.wikidata.org/entity/Q46841,Lena River,4294,http://commons.wikimedia.org/wiki/Special:FilePath/Lena%202007%20%28synchroswimr%29.jpg,Point(126.6847 72.4119)
http://www.wikidata.org/entity/Q128102,Irtysh,4248,http://commons.wikimedia.org/wiki/Special:FilePath/Irtish%20v%20Omsk.JPG,Point(90.215544444 47.414527777)
http://www.wikidata.org/entity/Q128102,Irtysh,4248,http://commons.wikimedia.org/wiki/Special:FilePath/Irtish%20v%20Omsk.JPG,Point(68.830555555 61.080555555)
http://www.wikidata.org/entity/Q128102,Irtysh,4248,http://commons.wikimedia.org/wiki/Special:FilePath/Irtish%20v%20Omsk.JPG,Point(90.215544444 47.414527777)
http://www.wikidata.org/entity/Q128102,Irtysh,4248,http://commons.wikimedia.org/wiki/Special:FilePath/Irtish%20v%20Omsk.JPG,Point(68.830555555 61.080555555)
http://www.wikidata.org/entity/Q3542,Niger River,4180,http://commons.wikimedia.org/wiki/Special:FilePath/Niger%20River%20View%2C%20Djenne%20%286861797%29.jpg,Point(-10.7233 9.0822)
http://www.wikidata.org/entity/Q3542,Niger River,4180,http://commons.wikimedia.org/wiki/Special:FilePath/Niger%20River%20View%2C%20Djenne%20%286861797%29.jpg,Point(6.4167 5.3167)
http://www.wikidata.org/entity/Q66439779,Kreuzbach,4132,http://commons.wikimedia.org/wiki/Special:FilePath/Kreuzbach%20Neuhof%2002.jpg,Point(15.122611111 47.226333333)
http://www.wikidata.org/entity/Q5419,Missouri River,3726,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Joseph%20Missouri%20River.jpg,Point(-111.5081 45.9275)
http://www.wikidata.org/entity/Q5419,Missouri River,3726,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Joseph%20Missouri%20River.jpg,Point(-90.1197 38.8136)
http://www.wikidata.org/entity/Q973,Ob,3650,http://commons.wikimedia.org/wiki/Special:FilePath/Ob%20u%20Barnaulu.jpg,Point(84.9853 52.4322)
http://www.wikidata.org/entity/Q973,Ob,3650,http://commons.wikimedia.org/wiki/Special:FilePath/Ob%20u%20Barnaulu.jpg,Point(71.7787 66.3802)
http://www.wikidata.org/entity/Q626,Volga,3530,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B8%D0%B4%20%D0%BD%D0%B0%20%D0%9A%D0%B8%D0%BD%D0%B5%D1%88%D0%B5%D0%BC%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BC%D0%BE%D1%81%D1%82%20%D0%B8%D0%B7%20%D1%81%D0%B5%D0%BB%D0%B0%20%D0%92%D0%BE%D0%B7%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D1%8C%D0%B5.JPG,Point(32.467965694 57.251331194)
http://www.wikidata.org/entity/Q626,Volga,3530,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B8%D0%B4%20%D0%BD%D0%B0%20%D0%9A%D0%B8%D0%BD%D0%B5%D1%88%D0%B5%D0%BC%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BC%D0%BE%D1%81%D1%82%20%D0%B8%D0%B7%20%D1%81%D0%B5%D0%BB%D0%B0%20%D0%92%D0%BE%D0%B7%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D1%8C%D0%B5.JPG,Point(47.8625 45.697194444)
http://www.wikidata.org/entity/Q78707,Yenisey,3487,http://commons.wikimedia.org/wiki/Special:FilePath/Yenisey%20from%20the%20Railway%20Bridge.JPG,Point(94.4518 51.7279)
http://www.wikidata.org/entity/Q78707,Yenisey,3487,http://commons.wikimedia.org/wiki/Special:FilePath/Yenisey%20from%20the%20Railway%20Bridge.JPG,Point(82.7161 71.8297)
http://www.wikidata.org/entity/Q104437,Yukon River,3190,http://commons.wikimedia.org/wiki/Special:FilePath/Yukon%20River%20drainage%20basin.gif,Point(-164.8 62.5986)
http://www.wikidata.org/entity/Q104437,Yukon River,3190,http://commons.wikimedia.org/wiki/Special:FilePath/Yukon%20River%20drainage%20basin.gif,Point(-134.5192 60.5419)
http://www.wikidata.org/entity/Q7348,Indus River,3180,http://commons.wikimedia.org/wiki/Special:FilePath/Indus%20near%20Skardu.jpg,Point(67.4308 23.9944)
http://www.wikidata.org/entity/Q7348,Indus River,3180,http://commons.wikimedia.org/wiki/Special:FilePath/Indus%20near%20Skardu.jpg,Point(81.7684 31.2421)
http://www.wikidata.org/entity/Q117526,Juruá River,3100,http://commons.wikimedia.org/wiki/Special:FilePath/Rio%20Jurua%2C%20Cruzeiro%20do%20Sul%2C%20Acre.jpg,Point(-72.079522222 -9.7671)
http://www.wikidata.org/entity/Q117526,Juruá River,3100,http://commons.wikimedia.org/wiki/Special:FilePath/Rio%20Jurua%2C%20Cruzeiro%20do%20Sul%2C%20Acre.jpg,Point(-65.754783333 -2.631811111)
http://www.wikidata.org/entity/Q134750,St. Lawrence River,3058,http://commons.wikimedia.org/wiki/Special:FilePath/Pont%20de%20l%27ile%202.JPG,Point(-76.014394444 44.349711111)
http://www.wikidata.org/entity/Q134750,St. Lawrence River,3058,http://commons.wikimedia.org/wiki/Special:FilePath/Pont%20de%20l%27ile%202.JPG,Point(-64.5 49.666666666)
http://www.wikidata.org/entity/Q160636,Rio Grande,3051,http://commons.wikimedia.org/wiki/Special:FilePath/Rio%20Grande%20White%20Rock%20Overlook%20Park%20View%202006%2009%2005.jpg,Point(-97.1452 25.9562)
http://www.wikidata.org/entity/Q160636,Rio Grande,3051,http://commons.wikimedia.org/wiki/Special:FilePath/Rio%20Grande%20White%20Rock%20Overlook%20Park%20View%202006%2009%2005.jpg,Point(-107.5384 37.7978)
http://www.wikidata.org/entity/Q26428,Nizhnyaya Tunguska,2989,http://commons.wikimedia.org/wiki/Special:FilePath/Untere%20Tunguska.jpg,Point(87.9556 65.7833)
http://www.wikidata.org/entity/Q26428,Nizhnyaya Tunguska,2989,http://commons.wikimedia.org/wiki/Special:FilePath/Untere%20Tunguska.jpg,Point(105.6775 58.0451)
http://www.wikidata.org/entity/Q26271,Purus River,2960,http://commons.wikimedia.org/wiki/Special:FilePath/RioPurus.jpg,Point(-61.475372314 -3.682002887)
http://www.wikidata.org/entity/Q45403,Brahmaputra River,2900,http://commons.wikimedia.org/wiki/Special:FilePath/Brahmaputra%20River%20Homeward%20bound.jpg,Point(91.746833333 26.200722222)
http://www.wikidata.org/entity/Q1653,Danube,2850,http://commons.wikimedia.org/wiki/Special:FilePath/Budapest%20from%20Gellert%20Hill.jpg,Point(8.154888888 48.095111111)
